Time,Station,Temperature,Moisture,Light,Wind Direction,PM2.5,PM10,CO,NOx,SO2
31/08/2023 22:56:00,SVDT1,26,98.5,0,106,0.7,1.2,2,0,0
31/08/2023 22:55:00,SVDT1,26,98.5,0,77,0.9,4.8,2,0,0
31/08/2023 22:54:00,SVDT1,26,98.4,0,64,1.1,1.5,2,0,0
31/08/2023 22:53:00,SVDT1,26,98.4,0,111,0.7,2.2,2,0,0
31/08/2023 22:52:00,SVDT1,26,98.4,0,102,0.8,1,2,0,0
31/08/2023 22:51:00,SVDT1,26,98.4,0,79,0.6,0.7,2,0,0
31/08/2023 22:50:00,SVDT1,26,98.4,0,98,1.1,2.7,2,0,0
31/08/2023 22:49:00,SVDT1,26,98.4,0,127,0.3,0.4,2,0,0
31/08/2023 22:48:00,SVDT1,26,98.4,0,131,0.6,1,2,0,0
31/08/2023 22:47:00,SVDT1,26,98.4,0,117,0.4,0.8,2,0,0
31/08/2023 22:46:00,SVDT1,26,98.4,0,160,0.6,0.8,2,0,0
31/08/2023 22:45:00,SVDT1,26,98.4,0,146,1.1,1.4,2,0,0
31/08/2023 22:44:00,SVDT1,26,98.3,0,102,1.1,1.5,2,0,0
31/08/2023 22:43:00,SVDT1,26,98.3,0,101,1.1,8.6,2,0,0
31/08/2023 22:42:00,SVDT1,26,98.3,0,130,1.2,2.1,2,0,0
31/08/2023 22:41:00,SVDT1,26,98.3,0,84,0.8,1.8,2,0,0
31/08/2023 22:40:00,SVDT1,26,98.3,0,114,0.7,1.3,2,0,0
31/08/2023 22:39:00,SVDT1,26.1,98.3,0,122,0.4,0.7,2,0,0
31/08/2023 22:38:00,SVDT1,26.1,98.3,0,83,1.2,3.7,2,0,0
31/08/2023 22:37:00,SVDT1,26.1,98.2,0,150,1,2.6,2,0,0
31/08/2023 22:36:00,SVDT1,26.1,98.2,0,192,0.9,4,2,0,0
31/08/2023 22:35:00,SVDT1,26.1,98.2,0,90,0.8,0.8,2,0,0
31/08/2023 22:34:00,SVDT1,26.1,98.2,0,65,0.4,0.4,2,0,0
31/08/2023 22:33:00,SVDT1,26.1,98.2,0,180,0.8,2.5,2,0,0
31/08/2023 22:32:00,SVDT1,26.1,98.2,0,210,0.7,1,2,0,0
31/08/2023 22:31:00,SVDT1,26.1,98.2,0,101,0.6,0.8,2,0,0
31/08/2023 22:30:00,SVDT1,26.1,98.2,0,95,0.7,1.6,2,0,0
31/08/2023 22:29:00,SVDT1,26.1,98.3,0,97,0.5,0.8,2,0,0
31/08/2023 22:28:00,SVDT1,26.1,98.2,0,86,0.7,2.8,2,0,0
31/08/2023 22:27:00,SVDT1,26.1,98.2,0,137,0.7,2.5,2,0,0
31/08/2023 22:26:00,SVDT1,26.1,98.2,0,131,0.8,2.7,2,0,0
31/08/2023 22:25:00,SVDT1,26.1,98.2,0,131,0.6,1.6,2,0,0
31/08/2023 22:24:00,SVDT1,26.1,98.2,0,86,0.6,5.5,2,0,0
31/08/2023 22:23:00,SVDT1,26.1,98.2,0,83,0.7,3.6,2,0,0
31/08/2023 22:22:00,SVDT1,26.2,98.2,0,96,0.9,5.8,2,0,0
31/08/2023 22:21:00,SVDT1,26.2,98.2,0,80,0.7,1.2,2,0,0
31/08/2023 22:20:00,SVDT1,26.2,98.2,0,91,0.7,1.3,2,0,0
31/08/2023 22:19:00,SVDT1,26.2,98.2,0,93,1.5,3.7,2,0,0
31/08/2023 22:18:00,SVDT1,26.2,98.1,0,87,0.8,1,2,0,0
31/08/2023 22:17:00,SVDT1,26.2,98.1,0,95,1.4,4.5,2,0,0
31/08/2023 22:16:00,SVDT1,26.2,98.2,0,104,0.6,0.8,2,0,0
31/08/2023 22:15:00,SVDT1,26.2,98.2,0,102,0.9,1.5,2,0,0
31/08/2023 22:14:00,SVDT1,26.2,98.2,0,69,0.5,0.6,2,0,0
31/08/2023 22:13:00,SVDT1,26.2,98.2,0,81,1.1,1.3,2,0,0
31/08/2023 22:12:00,SVDT1,26.2,98.2,0,93,1.1,1.3,2,0,0
31/08/2023 22:11:00,SVDT1,26.2,98.2,0,99,0.6,0.8,2,0,0
31/08/2023 22:10:00,SVDT1,26.2,98.2,0,86,1,4,2,0,0
31/08/2023 22:09:00,SVDT1,26.3,98.2,0,107,0.7,1.4,2,0,0
31/08/2023 22:08:00,SVDT1,26.3,98.2,0,135,1.4,2.6,2,0,0
31/08/2023 22:07:00,SVDT1,26.3,98.2,0,79,1,1.7,2,0,0
31/08/2023 22:06:00,SVDT1,26.3,98.2,0,127,0.8,0.9,2,0,0
31/08/2023 22:05:00,SVDT1,26.3,98.3,0,98,0.7,2.2,2,0,0
31/08/2023 22:04:00,SVDT1,26.3,98.3,0,159,1.1,3.6,2,0,0
31/08/2023 22:03:00,SVDT1,26.3,98.3,0,95,1,6.2,2,0,0
31/08/2023 22:02:00,SVDT1,26.3,98.3,0,78,1.2,1.4,2,0,0
31/08/2023 22:01:00,SVDT1,26.3,98.3,0,219,0.8,1.3,2,0,0
31/08/2023 22:00:00,SVDT1,26.4,98.3,0,132,1.6,2.3,2,0,0
31/08/2023 21:59:00,SVDT1,26.4,98.3,0,252,1.2,3.8,2,0,0
31/08/2023 21:58:00,SVDT1,26.4,98.3,0,84,1.4,3.6,2,0,0
31/08/2023 21:57:00,SVDT1,26.4,98.3,0,119,1.2,3.9,2,0,0
31/08/2023 21:56:00,SVDT1,26.4,98.3,0,193,1.4,5.9,2,0,0
31/08/2023 21:55:00,SVDT1,26.4,98.3,0,180,1.1,2.4,2,0,0
31/08/2023 21:54:00,SVDT1,26.5,98.4,0,117,1,1.5,2,0,0
